Actual,Target
0.996855,0.623047
0.996855,0.625000
0.996875,0.626953
0.996885,0.628906
0.996885,0.630859
0.996904,0.632812
0.996904,0.634766
0.996923,0.636719
0.996933,0.638672
0.996933,0.640625
0.996951,0.642578
0.996960,0.644531
0.996960,0.646484
0.996979,0.648438
0.996988,0.650391
0.996988,0.652344
0.997006,0.654297
0.997006,0.656250
0.997024,0.658203
0.997033,0.660156
0.997033,0.662109
0.997050,0.664062
0.997059,0.666016
0.997059,0.667969
0.997076,0.669922
0.997085,0.671875
0.997085,0.673828
0.997101,0.675781
0.997101,0.677734
0.997118,0.679688
0.997126,0.681641
0.997126,0.683594
0.997143,0.685547
0.997151,0.687500
0.997151,0.689453
0.997167,0.691406
0.997175,0.693359
0.997175,0.695312
0.997191,0.697266
0.997199,0.699219
0.997199,0.701172
0.997214,0.703125
0.997214,0.705078
0.997230,0.707031
0.997238,0.708984
0.997238,0.710938
0.997253,0.712891
0.997260,0.714844
0.997260,0.716797
0.997275,0.718750
0.997283,0.720703
0.997283,0.722656
0.997297,0.724609
0.997297,0.726562
0.997312,0.728516
0.997319,0.730469
0.997319,0.732422
0.997333,0.734375
0.997340,0.736328
0.997340,0.738281
0.997355,0.740234
0.997361,0.742188
0.997361,0.744141
0.997375,0.746094
0.997375,0.748047
0.997389,0.750000
0.997396,0.751953
0.997396,0.753906
0.997409,0.755859
0.997416,0.757812
0.997416,0.759766
0.997429,0.761719
0.997436,0.763672
0.997436,0.765625
0.997449,0.767578
0.997449,0.769531
0.997462,0.771484
0.997468,0.773438
0.997468,0.775391
0.997481,0.777344
0.997487,0.779297
0.997487,0.781250
0.997500,0.783203
0.997506,0.785156
0.997506,0.787109
0.997519,0.789062
0.997525,0.791016
0.997525,0.792969
0.997537,0.794922
0.997537,0.796875
0.997549,0.798828
0.997555,0.800781
0.997555,0.802734
0.997567,0.804688
0.997573,0.806641
0.997573,0.808594
0.997585,0.810547
0.997590,0.812500
0.997590,0.814453
0.997602,0.816406
0.997602,0.818359
0.997613,0.820312
0.997619,0.822266
0.997619,0.824219
0.997630,0.826172
0.997636,0.828125
0.997636,0.830078
0.997647,0.832031
0.997653,0.833984
0.997653,0.835938
0.997664,0.837891
0.997664,0.839844
0.997674,0.841797
0.997680,0.843750
0.997680,0.845703
0.997691,0.847656
0.997696,0.849609
0.997696,0.851562
0.997706,0.853516
0.997712,0.855469
0.997712,0.857422
0.997722,0.859375
0.997727,0.861328
0.997727,0.863281
0.997738,0.865234
0.997738,0.867188
0.997748,0.869141
0.997753,0.871094
0.997753,0.873047
0.997763,0.875000
0.997768,0.876953
0.997768,0.878906
0.997778,0.880859
0.997783,0.882812
0.997783,0.884766
0.997792,0.886719
0.997792,0.888672
0.997802,0.890625
0.997807,0.892578
0.997807,0.894531
0.997817,0.896484
0.997821,0.898438
0.997821,0.900391
0.997831,0.902344
0.997836,0.904297
0.997836,0.906250
0.997845,0.908203
0.997845,0.910156
0.997854,0.912109
0.997859,0.914062
0.997859,0.916016
0.997868,0.917969
0.997872,0.919922
0.997872,0.921875
0.997881,0.923828
0.997886,0.925781
0.997886,0.927734
0.997895,0.929688
0.997899,0.931641
0.997899,0.933594
0.997908,0.935547
0.997908,0.937500
0.997917,0.939453
0.997921,0.941406
0.997921,0.943359
0.997930,0.945312
0.997934,0.947266
0.997934,0.949219
0.997942,0.951172
0.997947,0.953125
0.997947,0.955078
0.997955,0.957031
0.997955,0.958984
0.997963,0.960938
0.997967,0.962891
0.997967,0.964844
0.997976,0.966797
0.997980,0.968750
0.997980,0.970703
0.997988,0.972656
0.997992,0.974609
0.997992,0.976562
0.998000,0.978516
0.998000,0.980469
0.998008,0.982422
0.998012,0.984375
0.998012,0.986328
0.998020,0.988281
0.998024,0.990234
0.998024,0.992188
0.998031,0.994141
0.998035,0.996094
0.998035,0.998047
